cluster_id,category,function,source_argument,target_argument,alpha,semantic_delta,semantic_top1,control_delta,control_top1,control_kind,paired_delta
8aa25ea0a3442552,countries,language,Canada,China,0.5,5.9375,False,-0.25,False,random_delta_matched,6.1875
8aa25ea0a3442552,countries,language,Canada,China,1.0,1.875,False,0.875,False,random_delta_matched,1.0
8aa25ea0a3442552,countries,language,Canada,China,2.0,-21.070308685302734,False,1.0625,False,random_delta_matched,-22.132808685302734
8aa25ea0a3442552,countries,language,Canada,Egypt,0.5,3.0625,False,-0.5625,False,random_delta_matched,3.625
8aa25ea0a3442552,countries,language,Canada,Egypt,1.0,0.25,False,-0.75,False,random_delta_matched,1.0
8aa25ea0a3442552,countries,language,Canada,Egypt,2.0,-8.9375,False,2.375,False,random_delta_matched,-11.3125
84474c8700aab5ed,countries,language,Egypt,France,0.5,6.0,False,0.3125,False,random_delta_matched,5.6875
84474c8700aab5ed,countries,language,Egypt,France,1.0,0.9375,False,0.1875,False,random_delta_matched,0.75
84474c8700aab5ed,countries,language,Egypt,France,2.0,-30.0,False,2.1875,False,random_delta_matched,-32.1875
84474c8700aab5ed,countries,language,Egypt,Canada,0.5,2.125,False,-0.375,False,random_delta_matched,2.5
84474c8700aab5ed,countries,language,Egypt,Canada,1.0,0.75,False,-0.625,False,random_delta_matched,1.375
84474c8700aab5ed,countries,language,Egypt,Canada,2.0,-12.296875,False,-0.3125,False,random_delta_matched,-11.984375
84474c8700aab5ed,countries,language,Egypt,China,0.5,6.1875,False,0.125,False,random_delta_matched,6.0625
84474c8700aab5ed,countries,language,Egypt,China,1.0,0.3125,False,0.5625,False,random_delta_matched,-0.25
84474c8700aab5ed,countries,language,Egypt,China,2.0,-30.5,False,1.25,False,random_delta_matched,-31.75
1741063f9842c280,countries,continent,France,Canada,0.5,3.5,False,0.125,False,random_delta_matched,3.375
1741063f9842c280,countries,continent,France,Canada,1.0,2.0,False,0.125,False,random_delta_matched,1.875
1741063f9842c280,countries,continent,France,Canada,2.0,-7.718749046325684,False,1.4375,False,random_delta_matched,-9.156249046325684
1741063f9842c280,countries,continent,France,China,0.5,4.125,False,-0.125,False,random_delta_matched,4.25
1741063f9842c280,countries,continent,France,China,1.0,1.0625,False,-0.0625,False,random_delta_matched,1.125
1741063f9842c280,countries,continent,France,China,2.0,-5.531250953674316,False,1.625,False,random_delta_matched,-7.156250953674316
1741063f9842c280,countries,continent,France,Egypt,0.5,3.75,False,0.0625,False,random_delta_matched,3.6875
1741063f9842c280,countries,continent,France,Egypt,1.0,0.75,False,0.0,False,random_delta_matched,0.75
1741063f9842c280,countries,continent,France,Egypt,2.0,-11.343751907348633,False,3.0,False,random_delta_matched,-14.343751907348633
011247fd9589e407,countries,continent,Canada,France,0.5,6.25,False,0.625,False,random_delta_matched,5.625
011247fd9589e407,countries,continent,Canada,France,1.0,4.6875,False,0.5,False,random_delta_matched,4.1875
011247fd9589e407,countries,continent,Canada,France,2.0,-11.062498092651367,False,2.5625,False,random_delta_matched,-13.624998092651367
011247fd9589e407,countries,continent,Canada,China,0.5,6.125,False,0.3125,False,random_delta_matched,5.8125
011247fd9589e407,countries,continent,Canada,China,1.0,3.75,False,0.75,False,random_delta_matched,3.0
011247fd9589e407,countries,continent,Canada,China,2.0,-10.90625,False,3.6875,False,random_delta_matched,-14.59375
011247fd9589e407,countries,continent,Canada,Egypt,0.5,5.0625,False,-0.4375,False,random_delta_matched,5.5
011247fd9589e407,countries,continent,Canada,Egypt,1.0,1.6875,False,2.0,False,random_delta_matched,-0.3125
011247fd9589e407,countries,continent,Canada,Egypt,2.0,-8.5,False,3.4375,False,random_delta_matched,-11.9375
65f99344f7c00067,countries,continent,China,France,0.5,4.1875,False,-0.375,False,random_delta_matched,4.5625
65f99344f7c00067,countries,continent,China,France,1.0,1.6875,False,0.75,False,random_delta_matched,0.9375
65f99344f7c00067,countries,continent,China,France,2.0,-16.1875,False,2.0,False,random_delta_matched,-18.1875
65f99344f7c00067,countries,continent,China,Canada,0.5,2.9375,False,-0.375,False,random_delta_matched,3.3125
65f99344f7c00067,countries,continent,China,Canada,1.0,1.375,False,0.8125,False,random_delta_matched,0.5625
65f99344f7c00067,countries,continent,China,Canada,2.0,-10.03125,False,1.8125,False,random_delta_matched,-11.84375
65f99344f7c00067,countries,continent,China,Egypt,0.5,3.875,False,0.0625,False,random_delta_matched,3.8125
65f99344f7c00067,countries,continent,China,Egypt,1.0,1.875,False,0.0625,False,random_delta_matched,1.8125
65f99344f7c00067,countries,continent,China,Egypt,2.0,-14.468748092651367,False,2.1875,False,random_delta_matched,-16.656248092651367
c1060cdc81c081ef,countries,continent,Egypt,France,0.5,4.25,False,0.3125,False,random_delta_matched,3.9375
c1060cdc81c081ef,countries,continent,Egypt,France,1.0,2.375,False,-0.375,False,random_delta_matched,2.75
c1060cdc81c081ef,countries,continent,Egypt,France,2.0,-11.937501907348633,False,-0.4375,False,random_delta_matched,-11.500001907348633
c1060cdc81c081ef,countries,continent,Egypt,Canada,0.5,1.5,False,-0.1875,False,random_delta_matched,1.6875
c1060cdc81c081ef,countries,continent,Egypt,Canada,1.0,1.125,False,-0.4375,False,random_delta_matched,1.5625
c1060cdc81c081ef,countries,continent,Egypt,Canada,2.0,-10.468748092651367,False,-0.125,False,random_delta_matched,-10.343748092651367
c1060cdc81c081ef,countries,continent,Egypt,China,0.5,4.0,False,0.0,False,random_delta_matched,4.0
c1060cdc81c081ef,countries,continent,Egypt,China,1.0,2.0,False,0.0625,False,random_delta_matched,1.9375
c1060cdc81c081ef,countries,continent,Egypt,China,2.0,-14.468748092651367,False,0.4375,False,random_delta_matched,-14.906248092651367
77536a9d54d2b1c5,months,season,April,February,0.5,0.25,False,0.0,False,random_delta_matched,0.25
77536a9d54d2b1c5,months,season,April,February,1.0,0.125,False,0.0,False,random_delta_matched,0.125
77536a9d54d2b1c5,months,season,April,February,2.0,-17.96875,False,0.125,False,random_delta_matched,-18.09375
77536a9d54d2b1c5,months,season,April,July,0.5,0.6875,False,0.0625,False,random_delta_matched,0.625
77536a9d54d2b1c5,months,season,April,July,1.0,0.4375,False,0.0625,False,random_delta_matched,0.375
77536a9d54d2b1c5,months,season,April,July,2.0,-31.875,False,0.125,False,random_delta_matched,-32.0
77536a9d54d2b1c5,months,season,April,October,0.5,0.625,False,0.125,False,random_delta_matched,0.5
77536a9d54d2b1c5,months,season,April,October,1.0,0.375,False,0.0625,False,random_delta_matched,0.3125
77536a9d54d2b1c5,months,season,April,October,2.0,-32.25,False,-0.3125,False,random_delta_matched,-31.9375
a4a3402f6bcc456e,months,holiday,February,April,0.5,1.125,False,0.5,False,random_delta_matched,0.625
a4a3402f6bcc456e,months,holiday,February,April,1.0,0.3125,False,0.375,False,random_delta_matched,-0.0625
a4a3402f6bcc456e,months,holiday,February,April,2.0,-11.0625,False,1.625,False,random_delta_matched,-12.6875
a4a3402f6bcc456e,months,holiday,February,July,0.5,1.3125,False,-0.1875,False,random_delta_matched,1.5
a4a3402f6bcc456e,months,holiday,February,July,1.0,0.5625,False,0.6875,False,random_delta_matched,-0.125
a4a3402f6bcc456e,months,holiday,February,July,2.0,-14.750001907348633,False,0.21875,False,random_delta_matched,-14.968751907348633
a4a3402f6bcc456e,months,holiday,February,October,0.5,1.0000004768371582,False,0.0625009536743164,False,random_delta_matched,0.9374995231628418
a4a3402f6bcc456e,months,holiday,February,October,1.0,0.3750009536743164,False,-0.1874995231628418,False,random_delta_matched,0.5625004768371582
a4a3402f6bcc456e,months,holiday,February,October,2.0,-24.8125,False,0.2500009536743164,False,random_delta_matched,-25.062500953674316
a82b62e179d9e23a,months,holiday,April,February,0.5,0.4375,False,0.0,False,random_delta_matched,0.4375
a82b62e179d9e23a,months,holiday,April,February,1.0,0.28125,False,-0.15625,False,random_delta_matched,0.4375
a82b62e179d9e23a,months,holiday,April,February,2.0,-7.499998092651367,False,0.34375,False,random_delta_matched,-7.843748092651367
a82b62e179d9e23a,months,holiday,April,July,0.5,0.625,False,-0.1875,False,random_delta_matched,0.8125
a82b62e179d9e23a,months,holiday,April,July,1.0,0.375,False,0.1875004768371582,False,random_delta_matched,0.1874995231628418
a82b62e179d9e23a,months,holiday,April,July,2.0,-12.09375,False,0.9375,False,random_delta_matched,-13.03125
a82b62e179d9e23a,months,holiday,April,October,0.5,0.8125,False,-0.0625,False,random_delta_matched,0.875
a82b62e179d9e23a,months,holiday,April,October,1.0,0.3124995231628418,False,-0.3125,False,random_delta_matched,0.6249995231628418
a82b62e179d9e23a,months,holiday,April,October,2.0,-27.1875,False,0.0,False,random_delta_matched,-27.1875
ad7e0b00295ed28b,months,holiday,October,February,0.5,0.75,False,0.03125,False,random_delta_matched,0.71875
ad7e0b00295ed28b,months,holiday,October,February,1.0,0.34375,False,0.125,False,random_delta_matched,0.21875
ad7e0b00295ed28b,months,holiday,October,February,2.0,-23.46875,False,1.9375004768371582,False,random_delta_matched,-25.406250476837158
ad7e0b00295ed28b,months,holiday,October,April,0.5,1.25,False,0.5,False,random_delta_matched,0.75
ad7e0b00295ed28b,months,holiday,October,April,1.0,0.25,False,0.65625,False,random_delta_matched,-0.40625
ad7e0b00295ed28b,months,holiday,October,April,2.0,-28.5,False,0.5937504768371582,False,random_delta_matched,-29.093750476837158
ad7e0b00295ed28b,months,holiday,October,July,0.5,1.875,False,-0.40625,False,random_delta_matched,2.28125
ad7e0b00295ed28b,months,holiday,October,July,1.0,0.5937504768371582,False,0.2812495231628418,False,random_delta_matched,0.3125009536743164
ad7e0b00295ed28b,months,holiday,October,July,2.0,-17.562498092651367,False,0.9687495231628418,False,random_delta_matched,-18.53124761581421
444252d45202929b,months,next_month,February,April,0.5,0.5,False,-0.0625,False,random_delta_matched,0.5625
444252d45202929b,months,next_month,February,April,1.0,0.3125,False,-0.125,False,random_delta_matched,0.4375
444252d45202929b,months,next_month,February,April,2.0,-4.918947219848633,False,-0.0625,False,random_delta_matched,-4.856447219848633
444252d45202929b,months,next_month,February,July,0.5,0.7499995231628418,False,0.1249995231628418,False,random_delta_matched,0.625
444252d45202929b,months,next_month,February,July,1.0,0.3124995231628418,False,-0.1250004768371582,False,random_delta_matched,0.4375
444252d45202929b,months,next_month,February,July,2.0,-21.624998092651367,False,0.6249995231628418,False,random_delta_matched,-22.24999761581421
444252d45202929b,months,next_month,February,October,0.5,0.4999995231628418,False,-0.1875004768371582,False,random_delta_matched,0.6875
444252d45202929b,months,next_month,February,October,1.0,-4.76837158203125e-07,False,-0.1250004768371582,False,random_delta_matched,0.125
444252d45202929b,months,next_month,February,October,2.0,-16.062498092651367,False,0.1249995231628418,False,random_delta_matched,-16.18749761581421
1ef0d32a4445cacf,months,next_month,April,February,0.5,0.0624997615814209,False,0.0,False,random_delta_matched,0.0624997615814209
1ef0d32a4445cacf,months,next_month,April,February,1.0,-0.0624997615814209,False,-0.3125,False,random_delta_matched,0.2500002384185791
1ef0d32a4445cacf,months,next_month,April,February,2.0,13.675779342651367,False,0.0,False,random_delta_matched,13.675779342651367
1ef0d32a4445cacf,months,next_month,April,July,0.5,0.3125,False,0.1875,False,random_delta_matched,0.125
1ef0d32a4445cacf,months,next_month,April,July,1.0,0.125,False,0.0625,False,random_delta_matched,0.0625
1ef0d32a4445cacf,months,next_month,April,July,2.0,7.3125,False,-0.125,False,random_delta_matched,7.4375
1ef0d32a4445cacf,months,next_month,April,October,0.5,0.1875,False,0.125,False,random_delta_matched,0.0625
