policy_style,layer,observational_policy_contrast,delta_policy_score
explicit,43,2.960378130276997,-0.01171875
explicit,44,3.1410342454910274,0.0703125
explicit,45,2.901525020599365,0.02734375
explicit,46,3.151912887891133,0.09765625
explicit,47,2.9056680599848423,0.1015625
indirect,43,2.0717821518580117,-0.01171875
indirect,44,2.229905724525451,0.0703125
indirect,45,2.0100569725036617,0.02734375
indirect,46,2.1410427888234453,0.09765625
indirect,47,1.8032521009445182,0.1015625
