split,policy_style,world_state,policy,n_rows,n_scenarios,accuracy,accuracy_low,accuracy_high,margin,margin_low,margin_high
discovery,explicit,A,conceal,12,12,0.8333333333333334,0.5833333333333334,1.0,0.9999999844779572,0.6041666610632093,1.3854166344429055
discovery,explicit,A,reveal,12,12,1.0,1.0,1.0,3.895833329491628,3.260416701273062,4.614583334359729
discovery,explicit,B,conceal,12,12,0.0,0.0,0.0,-0.6874999937911829,-0.8541666766939062,-0.5624999975164733
discovery,explicit,B,reveal,12,12,1.0,1.0,1.0,0.812499997516473,0.4895833308187623,1.1874999975475171
discovery,indirect,A,conceal,12,12,0.0,0.0,0.0,-0.4479166616996131,-0.5833333283662798,-0.3229166592160862
discovery,indirect,A,reveal,12,12,1.0,1.0,1.0,2.770833335040759,2.4270833655726163,3.1145833141131645
discovery,indirect,B,conceal,12,12,0.0,0.0,0.0,-0.5833333233992261,-0.7187499950329466,-0.4479166567325592
discovery,indirect,B,reveal,12,12,0.9166666666666666,0.75,1.0,0.7395833383003872,0.5520833308498067,0.9062500149011615
test,explicit,A,conceal,4,4,1.0,1.0,1.0,0.9374999850988386,0.8124999701976775,1.0624999999999996
test,explicit,A,reveal,4,4,1.0,1.0,1.0,1.8437500111758713,1.7500000149011616,1.9375000372529034
test,explicit,B,conceal,4,4,0.0,0.0,0.0,-1.0625000074505804,-1.187500014901161,-0.9375
test,explicit,B,reveal,4,4,1.0,1.0,1.0,0.6249999999999996,0.24999999254941932,1.000000037252902
test,indirect,A,conceal,4,4,0.0,0.0,0.0,-0.1875,-0.40625,-0.03125
test,indirect,A,reveal,4,4,1.0,1.0,1.0,1.8437500614672904,1.5625000298023224,2.1875000651925802
test,indirect,B,conceal,4,4,0.0,0.0,0.0,-1.1562499664723873,-1.4062499962747095,-0.8749999478459358
test,indirect,B,reveal,4,4,1.0,1.0,1.0,1.1250000000000004,0.7499999850988393,1.5
validation,explicit,A,conceal,8,8,1.0,1.0,1.0,0.3437499962747098,0.23437500000000003,0.4531249925494195
validation,explicit,A,reveal,8,8,1.0,1.0,1.0,2.2343749748542905,1.765234334103298,2.7187500111176632
validation,explicit,B,conceal,8,8,0.0,0.0,0.0,-0.6874999925494196,-0.9374999925494197,-0.45312499627470976
validation,explicit,B,reveal,8,8,0.75,0.375,1.0,0.43750000186264515,-0.03124999264255149,0.9218749962747097
validation,indirect,A,conceal,8,8,0.0,0.0,0.0,-0.5625,-0.6406249851919713,-0.48437500735744826
validation,indirect,A,reveal,8,8,1.0,1.0,1.0,1.8281249729916456,1.609375000931323,2.0312499459832907
validation,indirect,B,conceal,8,8,0.375,0.125,0.75,-0.4062499962747096,-0.6875000001862644,-0.12500000372529024
validation,indirect,B,reveal,8,8,0.625,0.25,0.875,0.5312499944120648,-0.031250005587935364,1.1093749963212762
