artifact,configuration_id,position_mask,operation,control,alpha,n_eligible,n_scenarios,mean_target_logodds_gain,gain_ci_low,gain_ci_high,positive_gain_fraction,target_top1_fraction,mean_output_kl_nats,mean_delta_rms_ratio,median_condition_number,high_cosine_fraction,maximum_absolute_cosine,minimum_function_effect,positive_function_count,layers,layer
layer_sweep,layer_28,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.625,8.863162878787879,14.487192234848484,1.0,0.696969696969697,5.0009196575335935,0.07546280809875644,2.6705975532531743,0.0,0.7733210325241081,9.090277777777779,3,[28],28
layer_sweep,layer_29,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.584280303030303,8.919460227272726,14.412192234848483,1.0,0.696969696969697,5.004000439619024,0.07232265682382971,2.6991147994995113,0.0,0.7778326272964471,9.090277777777779,3,[29],29
layer_sweep,layer_30,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.485795440095844,8.639086158347851,14.461410984848484,1.0,0.696969696969697,4.8756359133474305,0.06959181098323822,2.755695104598999,0.0,0.7876098155975341,8.916666613684761,3,[30],30
layer_sweep,layer_31,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.139204531004935,8.353101310585485,14.109351325757576,1.0,0.6666666666666666,4.707695652109881,0.071585592108242,2.866931438446045,0.0,0.8007908463478081,8.701388835906982,3,[31],31
layer_sweep,layer_32,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.857954545454545,9.18454071969697,14.65812026515151,1.0,0.7575757575757576,5.163009254600514,0.07271188418521973,2.734405755996704,0.0,0.7866466641426081,8.92361111111111,3,[32],32
layer_sweep,layer_33,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.791666666666666,9.245691287878788,14.581557765151516,1.0,0.7272727272727273,5.185886211128849,0.07603129112359197,2.227025032043457,0.0,0.7041747570037841,8.722222222222221,3,[33],33
layer_sweep,layer_34,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.914772712823117,9.233854109951945,14.899810606060605,1.0,0.7272727272727273,5.154159373575539,0.08109200587778333,2.07620620727539,0.0,0.6704385280609131,8.819444391462538,3,[34],34
layer_sweep,layer_35,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.472537878787879,8.751751893939394,14.496567234848477,1.0,0.6666666666666666,4.8825977639944265,0.09980642569787528,1.982486009597778,0.0,0.6486684083938591,8.402777777777779,3,[35],35
layer_sweep,layer_36,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.596590909090908,8.87594696969697,14.6764678030303,1.0,0.7575757575757576,4.987585015369184,0.11664500900290177,1.9342367649078371,0.0,0.625970244407653,8.29861111111111,3,[36],36
layer_sweep,layer_37,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.712121212121213,8.978006628787877,14.838423295454543,1.0,0.7575757575757576,5.031672202276461,0.11544484825748334,1.856811881065368,0.0,0.607144355773925,8.26388888888889,3,[37],37
