artifact,configuration_id,position_mask,operation,control,alpha,n_eligible,n_scenarios,mean_target_logodds_gain,gain_ci_low,gain_ci_high,positive_gain_fraction,target_top1_fraction,mean_output_kl_nats,mean_delta_rms_ratio,median_condition_number,high_cosine_fraction,maximum_absolute_cosine,minimum_function_effect,positive_function_count,layers,rank_mean_target_logodds_gain,rank_positive_gain_fraction,rank_target_top1_fraction,rank_mean_output_kl_nats,rank_mean_delta_rms_ratio,rank_minimum_function_effect,mean_rank
cumulative_layers,layers_36_37_38_39_40_41_42,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.343749996387597,3.6155066252657857,5.209327647902748,1.0,0.030303030303030304,0.2266728339688565,0.01704640730457476,1.7489029169082642,0.0,0.625970244407653,3.8749999867545233,3,"[36, 37, 38, 39, 40, 41, 42]",0.038461538461538464,0.40384615384615385,0.40384615384615385,1.0,0.07692307692307693,0.11538461538461539,0.3397435897435897
cumulative_layers,layers_36_37_38_39_40_41_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.332386356411559,3.5974668278838657,5.174384469696968,1.0,0.030303030303030304,0.21908323634698046,0.015153311239841545,1.7489029169082642,0.0,0.625970244407653,3.8749999735090466,3,"[36, 37, 38, 39, 40, 41, 42, 43]",0.07692307692307693,0.40384615384615385,0.40384615384615385,0.9615384615384616,0.038461538461538464,0.15384615384615385,0.3397435897435898
cumulative_layers,layers_36_37_38_39_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.265151511539113,3.5406960227272726,5.144886363636363,1.0,0.030303030303030304,0.21660058252569797,0.019559853931305275,1.7953482866287231,0.0,0.625970244407653,3.7847222089767456,3,"[36, 37, 38, 39, 40, 41]",0.15384615384615385,0.40384615384615385,0.40384615384615385,0.9230769230769231,0.15384615384615385,0.19230769230769232,0.3717948717948718
cumulative_layers,layers_37_39_41_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.261363632751234,3.549242424061805,5.076728216174877,1.0,0.030303030303030304,0.20225452251421866,0.027774930934273002,1.7489029169082642,0.0,0.607144355773925,3.9097222089767456,3,"[37, 39, 41, 43]",0.19230769230769232,0.40384615384615385,0.40384615384615385,0.8461538461538461,0.4230769230769231,0.038461538461538464,0.3846153846153846
cumulative_layers,layers_36_38_40_42,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.303030303030303,3.575733901515151,5.165743371212121,1.0,0.030303030303030304,0.21140430316639397,0.028467834310669158,1.7953482866287231,0.0,0.625970244407653,3.8819444444444446,3,"[36, 38, 40, 42]",0.11538461538461539,0.40384615384615385,0.40384615384615385,0.8846153846153846,0.46153846153846156,0.07692307692307693,0.391025641025641
cumulative_layers,layers_36_37_38_39_40,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.946969696969697,3.274479166666667,4.703953598484847,1.0,0.030303030303030304,0.18349708699988102,0.02210633483023864,1.7953482866287231,0.0,0.625970244407653,3.5277777777777777,3,"[36, 37, 38, 39, 40]",0.2692307692307692,0.40384615384615385,0.40384615384615385,0.7692307692307693,0.2692307692307692,0.2692307692307692,0.3974358974358974
cumulative_layers,layers_38_39_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.1553030266906275,3.477083329720931,4.987736735380057,1.0,0.030303030303030304,0.19010738674268973,0.025283890368882064,1.7489029169082642,0.0,0.588131785392761,3.777777764532301,3,"[38, 39, 40, 41]",0.23076923076923078,0.40384615384615385,0.40384615384615385,0.8076923076923077,0.34615384615384615,0.23076923076923078,0.4038461538461538
cumulative_layers,layers_40_41_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.856060602448203,3.1382575721451733,4.6999999963875965,1.0,0.030303030303030304,0.1343991521491918,0.025207990560870606,1.628148436546325,0.0,0.529918313026428,3.109375,3,"[40, 41, 42, 43]",0.3076923076923077,0.40384615384615385,0.40384615384615385,0.6538461538461539,0.3076923076923077,0.38461538461538464,0.4102564102564102
cumulative_layers,layers_41_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.7793560569936577,3.0965435569033484,4.607339015061203,1.0,0.030303030303030304,0.12239421180195394,0.029907359410608368,1.620604395866394,0.0,0.522739887237548,2.8958333333333335,3,"[41, 42, 43]",0.34615384615384615,0.40384615384615385,0.40384615384615385,0.5769230769230769,0.5384615384615384,0.5,0.4615384615384615
cumulative_layers,layers_39_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.672348481236082,3.0511363598433405,4.442282189925511,1.0,0.030303030303030304,0.13140544468170043,0.036205616680260365,1.637488722801208,0.0,0.5625426173210141,3.21875,3,"[39, 40, 41]",0.46153846153846156,0.40384615384615385,0.40384615384615385,0.6153846153846154,0.5769230769230769,0.3076923076923077,0.4615384615384615
