artifact,configuration_id,position_mask,operation,control,alpha,n_eligible,n_scenarios,mean_target_logodds_gain,gain_ci_low,gain_ci_high,positive_gain_fraction,target_top1_fraction,mean_output_kl_nats,mean_delta_rms_ratio,median_condition_number,high_cosine_fraction,maximum_absolute_cosine,minimum_function_effect,positive_function_count,layers
controls,control_direct_answer_direction,argument_through_end,pseudoinverse_coordinate_swap,direct_answer_direction,0.5,33,11,1.0142045562917537,0.6846354165763565,1.3153409058397467,0.9090909090909091,0.0,0.007308360172883215,0.038949425501579094,2.000462532043457,0.0,0.787182927131652,0.7552083333333334,3,[34]
controls,control_identity_source_source,argument_through_end,pseudoinverse_coordinate_swap,identity_source_source,0.5,33,11,-0.010416684728680218,-0.02840911258350716,0.005681789282596473,0.15151515151515152,0.0,0.000217646918661584,0.0,1.0,1.0,1.0,-0.04861112435658767,2,[34]
controls,control_norm_matched_random_basis,argument_through_end,pseudoinverse_coordinate_swap,norm_matched_random_basis,0.5,33,11,-0.011363636363636364,-0.023674242424242428,0.003787878787878789,0.12121212121212122,0.0,0.00017382855995385824,0.006477320778437122,1.000000119209289,0.0,1.862645149230957e-09,-0.020833333333333332,0,[34]
controls,control_out_of_window_layer,argument_through_end,pseudoinverse_coordinate_swap,out_of_window_layer,0.5,33,11,0.29356060244820337,0.2140151515151515,0.3929924170176188,1.0,0.0,0.0012311001280035988,0.041495693452430094,2.856664896011352,0.0,0.792155504226684,0.19791666666666666,3,[20]
controls,control_unrelated_same_category,argument_through_end,pseudoinverse_coordinate_swap,unrelated_same_category,0.5,33,11,0.1941287951035933,-0.0019413095532041615,0.3883523153536242,0.5757575757575758,0.0,0.08514034604674835,0.05620864688446967,2.200590848922729,0.0,0.6704385280609131,0.12499997350904676,3,[34]
coordinate_trajectories,operation_donor_coordinate_patch,argument_through_end,donor_coordinate_patch,semantic,0.5,33,11,1.7566287806539824,1.515151514609655,2.032196955247359,1.0,0.030303030303030304,0.032777372857018996,0.05887283520265009,2.07620620727539,0.0,0.6704385280609131,1.6875,3,[34]
coordinate_trajectories,operation_pseudoinverse_coordinate_swap,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.9147727236603245,1.4677320073048274,2.4696969590403812,1.0,0.030303030303030304,0.04807128179747792,0.05728721268700792,2.07620620727539,0.0,0.6704385280609131,1.8125,3,[34]
coordinate_trajectories,operation_source_suppression_target_installation,argument_through_end,source_suppression_target_installation,semantic,0.5,33,11,0.3191287662043716,0.25094693357294257,0.3844696969696969,0.9696969696969697,0.0,0.0008493077122799412,0.021062619165714454,2.07620620727539,0.0,0.6704385280609131,0.2630208333333333,3,[34]
cumulative_layers,layers_36_37_38_39,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.522727272727273,2.8578598484848485,4.27092803030303,1.0,0.030303030303030304,0.15329390614660351,0.025891037217771275,1.856811881065368,0.0,0.625970244407653,3.1527777777777777,3,"[36, 37, 38, 39]"
cumulative_layers,layers_36_37_38_39_40,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.946969696969697,3.274479166666667,4.703953598484847,1.0,0.030303030303030304,0.18349708699988102,0.02210633483023864,1.7953482866287231,0.0,0.625970244407653,3.5277777777777777,3,"[36, 37, 38, 39, 40]"
cumulative_layers,layers_36_37_38_39_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.265151511539113,3.5406960227272726,5.144886363636363,1.0,0.030303030303030304,0.21660058252569797,0.019559853931305275,1.7953482866287231,0.0,0.625970244407653,3.7847222089767456,3,"[36, 37, 38, 39, 40, 41]"
cumulative_layers,layers_36_37_38_39_40_41_42,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.343749996387597,3.6155066252657857,5.209327647902748,1.0,0.030303030303030304,0.2266728339688565,0.01704640730457476,1.7489029169082642,0.0,0.625970244407653,3.8749999867545233,3,"[36, 37, 38, 39, 40, 41, 42]"
cumulative_layers,layers_36_37_38_39_40_41_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.332386356411559,3.5974668278838657,5.174384469696968,1.0,0.030303030303030304,0.21908323634698046,0.015153311239841545,1.7489029169082642,0.0,0.625970244407653,3.8749999735090466,3,"[36, 37, 38, 39, 40, 41, 42, 43]"
cumulative_layers,layers_36_38_40_42,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.303030303030303,3.575733901515151,5.165743371212121,1.0,0.030303030303030304,0.21140430316639397,0.028467834310669158,1.7953482866287231,0.0,0.625970244407653,3.8819444444444446,3,"[36, 38, 40, 42]"
cumulative_layers,layers_37_39_41_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.261363632751234,3.549242424061805,5.076728216174877,1.0,0.030303030303030304,0.20225452251421866,0.027774930934273002,1.7489029169082642,0.0,0.607144355773925,3.9097222089767456,3,"[37, 39, 41, 43]"
cumulative_layers,layers_38_39_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,4.1553030266906275,3.477083329720931,4.987736735380057,1.0,0.030303030303030304,0.19010738674268973,0.025283890368882064,1.7489029169082642,0.0,0.588131785392761,3.777777764532301,3,"[38, 39, 40, 41]"
cumulative_layers,layers_39_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.672348481236082,3.0511363598433405,4.442282189925511,1.0,0.030303030303030304,0.13140544468170043,0.036205616680260365,1.637488722801208,0.0,0.5625426173210141,3.21875,3,"[39, 40, 41]"
cumulative_layers,layers_40,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.497159087296688,2.8522017045454544,4.22357953841036,1.0,0.030303030303030304,0.11108026019241035,0.0906580081491755,1.637488722801208,0.0,0.529918313026428,2.7135416666666665,3,[40]
cumulative_layers,layers_40_41,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.776515147902749,3.070075757485448,4.634517041932454,1.0,0.030303030303030304,0.1395782105568228,0.048475661563728914,1.637488722801208,0.0,0.529918313026428,3.0677083333333335,3,"[40, 41]"
cumulative_layers,layers_40_41_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.856060602448203,3.1382575721451733,4.6999999963875965,1.0,0.030303030303030304,0.1343991521491918,0.025207990560870606,1.628148436546325,0.0,0.529918313026428,3.109375,3,"[40, 41, 42, 43]"
cumulative_layers,layers_41_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.7793560569936577,3.0965435569033484,4.607339015061203,1.0,0.030303030303030304,0.12239421180195394,0.029907359410608368,1.620604395866394,0.0,0.522739887237548,2.8958333333333335,3,"[41, 42, 43]"
cumulative_layers,layers_42_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.7490530266906275,3.0964488600239606,4.535132572235483,1.0,0.030303030303030304,0.11591958824657986,0.03934993643479397,1.620604395866394,0.0,0.509735107421875,2.90625,3,"[42, 43]"
cumulative_layers,layers_43,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,3.660037875175476,3.0264677995082105,4.426396776780937,1.0,0.030303030303030304,0.10510360019874128,0.0736375440928064,1.620604395866394,0.0,0.509735107421875,2.8645833333333335,3,[43]
layer_sweep,layer_28,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.625,8.863162878787879,14.487192234848484,1.0,0.696969696969697,5.0009196575335935,0.07546280809875644,2.6705975532531743,0.0,0.7733210325241081,9.090277777777779,3,[28]
layer_sweep,layer_29,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.584280303030303,8.919460227272726,14.412192234848483,1.0,0.696969696969697,5.004000439619024,0.07232265682382971,2.6991147994995113,0.0,0.7778326272964471,9.090277777777779,3,[29]
layer_sweep,layer_30,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.485795440095844,8.639086158347851,14.461410984848484,1.0,0.696969696969697,4.8756359133474305,0.06959181098323822,2.755695104598999,0.0,0.7876098155975341,8.916666613684761,3,[30]
layer_sweep,layer_31,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.139204531004935,8.353101310585485,14.109351325757576,1.0,0.6666666666666666,4.707695652109881,0.071585592108242,2.866931438446045,0.0,0.8007908463478081,8.701388835906982,3,[31]
layer_sweep,layer_32,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.857954545454545,9.18454071969697,14.65812026515151,1.0,0.7575757575757576,5.163009254600514,0.07271188418521973,2.734405755996704,0.0,0.7866466641426081,8.92361111111111,3,[32]
layer_sweep,layer_33,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.791666666666666,9.245691287878788,14.581557765151516,1.0,0.7272727272727273,5.185886211128849,0.07603129112359197,2.227025032043457,0.0,0.7041747570037841,8.722222222222221,3,[33]
layer_sweep,layer_34,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.914772712823117,9.233854109951945,14.899810606060605,1.0,0.7272727272727273,5.154159373575539,0.08109200587778333,2.07620620727539,0.0,0.6704385280609131,8.819444391462538,3,[34]
layer_sweep,layer_35,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.472537878787879,8.751751893939394,14.496567234848477,1.0,0.6666666666666666,4.8825977639944265,0.09980642569787528,1.982486009597778,0.0,0.6486684083938591,8.402777777777779,3,[35]
layer_sweep,layer_36,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.596590909090908,8.87594696969697,14.6764678030303,1.0,0.7575757575757576,4.987585015369184,0.11664500900290177,1.9342367649078371,0.0,0.625970244407653,8.29861111111111,3,[36]
layer_sweep,layer_37,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.712121212121213,8.978006628787877,14.838423295454543,1.0,0.7575757575757576,5.031672202276461,0.11544484825748334,1.856811881065368,0.0,0.607144355773925,8.26388888888889,3,[37]
layer_sweep,layer_38,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.774621212121213,9.040317234848485,14.852130681818178,1.0,0.7878787878787878,5.076688267967918,0.10837926749478635,1.7953482866287231,0.0,0.588131785392761,8.215277777777779,3,[38]
layer_sweep,layer_39,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.553977272727273,8.809517045454546,14.661245265151514,1.0,0.7272727272727273,4.925496031840642,0.1338938637213269,1.7489029169082642,0.0,0.5625426173210141,8.17361111111111,3,[39]
layer_sweep,layer_40,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.535037878787879,8.720265151515152,14.78283617424242,1.0,0.7272727272727273,4.8955001560124485,0.1266399472951884,1.637488722801208,0.0,0.529918313026428,8.402777777777779,3,[40]
