split,game,n,accuracy,legal_choice_accuracy,formatting_compliance,mean_regret,mean_output_entropy
locked_replication,chameleon,12,0.25,0.25,1.0,0.22499999999999998,0.7418320912998607
locked_replication,cheap_talk,12,0.8333333333333334,0.8333333333333334,1.0,0.20833333333333334,0.4822961311842171
locked_replication,disclosure,12,1.0,1.0,1.0,0.0,0.03191964993184745
locked_replication,inspection,12,1.0,1.0,1.0,0.0,0.008519572772592203
locked_replication,kuhn,12,0.6666666666666666,0.6666666666666666,1.0,0.33749999999999997,0.8141892300458423
locked_replication,signaling,12,0.75,0.75,1.0,0.06833333333333336,0.8844180330661332
