substage,probe,n_rows,accuracy,macro_ovr_auroc,negative_log_likelihood,expected_calibration_error,accuracy_ci_95_low,accuracy_ci_95_high
1A,state_all,240,1.0,1.0,0.01814359445641304,0.0161148535708586,1.0,1.0
1A,report_all,240,1.0,1.0,0.0815089967369096,0.07349944040179249,1.0,1.0
1A,state_truth_trained_to_transformed,120,0.475,0.8761574074074073,4.4685068996867825,0.4554126679897309,0.425,0.525
1A,state_transformed_trained_to_truth,120,0.25,0.7689814814814815,16.143016877372737,0.7499832893411319,0.25,0.25
1B,state_all,240,0.9916666666666667,0.9993518518518518,0.04633862237087117,0.01191905438899989,0.9791666666666666,1.0
1B,report_all,240,0.9333333333333333,0.9911805555555556,0.35852132736620224,0.04992559428016338,0.8916666666666667,0.9708333333333333
1B,state_truth_trained_to_transformed,120,0.7,0.9601851851851851,0.904039767203385,0.19760069424907367,0.6083333333333333,0.7916666666666666
1B,state_transformed_trained_to_truth,120,0.49166666666666664,0.9665740740740741,2.0699708489092545,0.3795088005562623,0.4166666666666667,0.5666666666666667
