split,policy_style,world_state,policy,n_rows,n_scenarios,accuracy,accuracy_low,accuracy_high,margin,margin_low,margin_high
discovery,explicit,A,conceal,24,24,1.0,1.0,1.0,12.138020776128542,12.08072918779012,12.197916472213972
discovery,explicit,A,reveal,24,24,1.0,1.0,1.0,7.7239583216796746,7.625000046397994,7.802083306213081
discovery,explicit,B,conceal,24,24,1.0,1.0,1.0,7.55729165180431,7.458333293332483,7.6614583048043645
discovery,explicit,B,reveal,24,24,1.0,1.0,1.0,9.119791368689524,9.041666445351787,9.19791635452146
discovery,indirect,A,conceal,24,24,1.0,1.0,1.0,4.020833337718311,3.8854166492402644,4.15104166783179
discovery,indirect,A,reveal,24,24,1.0,1.0,1.0,6.328125054690948,6.291666694818559,6.364583399634405
discovery,indirect,B,conceal,24,24,1.0,1.0,1.0,4.500000034148495,4.437500050369999,4.557291643538822
discovery,indirect,B,reveal,24,24,1.0,1.0,1.0,2.557291635622581,2.463541641831398,2.6510416483817
